date,ticker,article_id,news_text,news_source,is_real
2026-06-17,ACB,ACB_ART_000,"Asia Commercial Bank opens new branch network in 5 provinces across Vietnam, strengthening retail presence",Realistic_Sample,False
2026-06-17,ACB,ACB_ART_001,ACB upgraded to 'Outperform' by investment bank citing strong fundamentals and growth prospects,Realistic_Sample,False
2026-06-17,ACB,ACB_ART_002,ACB faces downward pressure from foreign investors selling amid Banking sector weakness,Realistic_Sample,False
2026-06-17,VCB,VCB_ART_000,"VCB announces robust Q2 results with net interest income growing 23% YoY, driven by strong loan demand",Realistic_Sample,False
2026-06-17,VCB,VCB_ART_001,VCB faces downward pressure from foreign investors selling amid Banking sector weakness,Realistic_Sample,False
2026-06-17,VCB,VCB_ART_002,"Vietcombank receives 'Buy' recommendation from leading brokerage, target price raised 8%",Realistic_Sample,False
2026-06-17,VCB,VCB_ART_003,"Vietcombank surges to 3554 new accounts in Q2, exceeding customer acquisition targets",Realistic_Sample,False
2026-06-17,BID,BID_ART_000,BID announces interim dividend of 1513 VND per share with record payout ratio,Realistic_Sample,False
2026-06-17,BID,BID_ART_001,Investment & Development Bank faces margin compression as operating costs rise faster than revenue in H1 2026,Realistic_Sample,False
2026-06-17,BID,BID_ART_002,"Investment & Development Bank opens new branch network in 4 provinces across Vietnam, strengthening retail presence",Realistic_Sample,False
2026-06-17,BID,BID_ART_003,BID faces downward pressure from foreign investors selling amid Banking sector weakness,Realistic_Sample,False
2026-06-17,HDB,HDB_ART_000,HDB upgraded to 'Outperform' by investment bank citing strong fundamentals and growth prospects,Realistic_Sample,False
2026-06-17,HDB,HDB_ART_001,HDB announces interim dividend of 2444 VND per share with record payout ratio,Realistic_Sample,False
2026-06-17,HDB,HDB_ART_002,HDB enters collaboration with international partner to expand Banking services into neighboring countries,Realistic_Sample,False
2026-06-17,HDB,HDB_ART_003,"HDB warns of rising credit costs and narrowing net interest margin in H1 2026, concerning investors",Realistic_Sample,False
2026-06-17,MBB,MBB_ART_000,Military Commercial Joint Stock Bank signs strategic partnership with leading Banking firm to enhance market position,Realistic_Sample,False
2026-06-17,MBB,MBB_ART_001,"Military Commercial Joint Stock Bank faces regulatory scrutiny over compliance requirements, may incur additional compliance costs",Realistic_Sample,False
2026-06-17,MBB,MBB_ART_002,"MBB warns of rising credit costs and narrowing net interest margin in H1 2026, concerning investors",Realistic_Sample,False
2026-06-17,TCB,TCB_ART_000,"TCB announces robust Q2 results with net interest income growing 28% YoY, driven by strong loan demand",Realistic_Sample,False
